               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059516,            0.010151,            0.012174,             0.21338,             0.17837,              0.1116,            0.045269,            0.059483,            0.011063,            0.015019,            0.070074,           0.0033252,           0.0033252
                   1,            0.057558,             0.01007,            0.010703,             0.17523,             0.17808,            0.096488,            0.038146,             0.05967,            0.011144,            0.016384,            0.039634,            0.006219,            0.006219
                   2,            0.058317,           0.0099347,            0.010357,             0.14694,             0.15241,            0.081401,            0.032496,            0.063148,            0.011234,            0.018981,           0.0087546,           0.0086729,           0.0086729
                   3,            0.058878,            0.010423,            0.011205,             0.17262,             0.17287,            0.083658,            0.031329,            0.063689,            0.011062,            0.016668,             0.00802,             0.00802,             0.00802
                   4,            0.059274,           0.0097248,            0.010927,             0.11189,             0.17525,            0.072984,            0.027597,            0.063799,            0.011183,            0.017822,             0.00802,             0.00802,             0.00802
                   5,            0.058715,            0.010053,            0.010532,             0.11881,             0.14084,            0.069949,            0.028005,            0.061915,            0.012104,             0.01741,             0.00736,             0.00736,             0.00736
                   6,            0.057753,             0.01004,           0.0097537,             0.14116,             0.16349,             0.07963,            0.031389,              0.0618,            0.011173,            0.018676,              0.0067,              0.0067,              0.0067
                   7,            0.055621,           0.0099716,           0.0091344,             0.21276,             0.11833,            0.085461,            0.037336,            0.061137,            0.011324,            0.019211,             0.00604,             0.00604,             0.00604
                   8,            0.055842,           0.0097176,           0.0084409,             0.14655,              0.1836,            0.087379,            0.038324,            0.060187,            0.011208,            0.017503,             0.00538,             0.00538,             0.00538
                   9,            0.054372,           0.0095449,           0.0079823,             0.16072,             0.17911,            0.093503,            0.037028,            0.060914,            0.011483,             0.01847,             0.00472,             0.00472,             0.00472
                  10,            0.053619,            0.009649,           0.0071652,             0.16571,             0.15928,            0.083536,            0.037652,            0.060299,             0.01119,            0.019415,             0.00406,             0.00406,             0.00406
                  11,            0.052533,           0.0094987,           0.0071222,             0.14495,             0.13378,            0.080299,            0.036035,            0.060661,            0.011314,            0.021509,              0.0034,              0.0034,              0.0034
                  12,            0.053849,           0.0094039,           0.0075797,             0.13911,             0.16294,            0.080762,            0.032913,            0.059381,            0.011236,            0.020546,             0.00274,             0.00274,             0.00274
                  13,            0.052971,           0.0096378,           0.0068213,             0.18909,             0.15435,            0.084071,            0.035797,            0.058336,             0.01127,             0.02151,             0.00208,             0.00208,             0.00208
                  14,            0.051496,            0.009574,           0.0059107,             0.16551,             0.17414,            0.088589,            0.039535,            0.058684,            0.011396,            0.021237,             0.00142,             0.00142,             0.00142
