               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077277,            0.019865,            0.028274,             0.32225,             0.25728,             0.20705,             0.07157,            0.063419,            0.011176,            0.017182,            0.070033,           0.0033296,           0.0033296
                   1,            0.062298,             0.01698,            0.017305,             0.37484,             0.30933,             0.26541,            0.097995,            0.060181,            0.010941,            0.015482,            0.039813,           0.0064431,           0.0064431
                   2,            0.061969,            0.017057,            0.017682,             0.30463,             0.25223,             0.19776,            0.069011,            0.063401,            0.011209,            0.016119,           0.0093736,           0.0093365,           0.0093365
                   3,            0.061183,            0.017268,             0.01698,             0.36268,             0.29861,             0.24911,            0.093753,            0.060304,            0.011829,            0.015966,             0.00901,             0.00901,             0.00901
                   4,            0.058986,            0.016826,            0.015668,             0.37763,             0.34733,             0.29613,             0.10822,            0.057554,            0.010736,            0.013098,             0.00901,             0.00901,             0.00901
                   5,            0.057347,            0.016475,            0.014804,             0.42726,             0.39272,             0.34449,             0.13396,            0.055114,            0.010712,            0.012402,             0.00868,             0.00868,             0.00868
                   6,            0.056242,             0.01639,            0.014428,             0.44453,             0.39597,             0.36924,             0.14922,            0.054391,            0.010561,            0.011588,             0.00835,             0.00835,             0.00835
                   7,            0.055194,            0.016423,            0.013607,             0.45567,             0.40418,             0.37974,              0.1536,            0.053514,            0.010465,            0.011513,             0.00802,             0.00802,             0.00802
                   8,            0.054549,            0.016214,             0.01332,             0.46859,             0.42446,             0.39859,              0.1627,             0.05247,            0.010355,            0.010816,             0.00769,             0.00769,             0.00769
                   9,            0.054019,            0.016122,            0.013238,             0.47768,             0.45178,             0.42444,             0.17463,            0.051568,            0.010328,            0.010752,             0.00736,             0.00736,             0.00736
                  10,            0.053292,            0.016021,             0.01258,             0.49537,               0.449,             0.44079,             0.18332,            0.051337,            0.010235,            0.010154,             0.00703,             0.00703,             0.00703
                  11,            0.053013,            0.015702,             0.01241,             0.51318,             0.45128,             0.44382,             0.18491,            0.051153,            0.010153,            0.010428,              0.0067,              0.0067,              0.0067
                  12,            0.052537,            0.015721,            0.012106,             0.50897,             0.46175,             0.44722,             0.18852,            0.050517,            0.010042,             0.01021,             0.00637,             0.00637,             0.00637
                  13,            0.051981,            0.015527,            0.011998,             0.52254,              0.4745,             0.46385,             0.20086,            0.050208,            0.010008,           0.0099058,             0.00604,             0.00604,             0.00604
                  14,            0.051492,             0.01549,             0.01157,             0.54087,             0.47916,             0.47902,             0.20745,            0.049594,           0.0099451,            0.010038,             0.00571,             0.00571,             0.00571
                  15,            0.051288,            0.015537,            0.011477,             0.54577,             0.47898,             0.48444,             0.21265,            0.049665,           0.0099225,           0.0097405,             0.00538,             0.00538,             0.00538
                  16,            0.050601,            0.015545,            0.011214,             0.54393,             0.49402,             0.49483,             0.21645,            0.049135,           0.0098863,           0.0095092,             0.00505,             0.00505,             0.00505
                  17,            0.050449,            0.015313,             0.01085,             0.54898,             0.49707,             0.50099,             0.22068,             0.04876,           0.0098654,           0.0094243,             0.00472,             0.00472,             0.00472
                  18,            0.049873,            0.015348,            0.010491,             0.55341,             0.48658,             0.49787,             0.21928,            0.048723,           0.0098292,           0.0094537,             0.00439,             0.00439,             0.00439
                  19,            0.049518,            0.015241,            0.010315,             0.54944,             0.50345,              0.5078,             0.22589,            0.048199,           0.0097883,           0.0093264,             0.00406,             0.00406,             0.00406
                  20,            0.048885,            0.015112,            0.010037,             0.57355,             0.49551,             0.51726,             0.23093,            0.048058,           0.0097392,           0.0095476,             0.00373,             0.00373,             0.00373
                  21,            0.048818,             0.01514,           0.0098316,             0.57102,             0.50402,             0.51995,             0.23195,            0.047769,           0.0097342,           0.0093427,              0.0034,              0.0034,              0.0034
                  22,            0.048383,            0.015059,           0.0097998,             0.57189,             0.50843,             0.52459,             0.23476,            0.047621,            0.009699,           0.0093882,             0.00307,             0.00307,             0.00307
                  23,            0.047738,            0.014933,            0.009238,             0.57529,              0.5151,             0.53152,             0.23882,            0.047495,           0.0096738,            0.009406,             0.00274,             0.00274,             0.00274
                  24,            0.047418,            0.014951,           0.0090148,             0.57734,             0.52468,             0.53346,             0.24085,             0.04749,            0.009661,           0.0093837,             0.00241,             0.00241,             0.00241
                  25,             0.04699,            0.014699,           0.0087423,             0.56934,             0.52725,             0.53578,             0.24151,            0.047384,           0.0096533,           0.0093528,             0.00208,             0.00208,             0.00208
                  26,            0.046636,            0.014775,           0.0084222,             0.57389,             0.52368,              0.5354,             0.24273,            0.047275,           0.0096493,           0.0094976,             0.00175,             0.00175,             0.00175
                  27,            0.045872,            0.014584,           0.0081022,             0.57585,              0.5256,             0.53673,             0.24346,            0.047224,           0.0096403,           0.0094792,             0.00142,             0.00142,             0.00142
                  28,            0.045284,            0.014464,           0.0077308,             0.57999,             0.52337,             0.53894,             0.24525,            0.047181,           0.0096285,           0.0095985,             0.00109,             0.00109,             0.00109
                  29,            0.044813,            0.014325,           0.0073314,             0.57742,             0.52823,             0.53913,             0.24601,            0.047195,           0.0096272,           0.0097075,             0.00076,             0.00076,             0.00076
