               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079677,            0.019601,            0.028692,             0.27562,             0.25592,              0.1773,              0.0634,            0.067535,            0.011257,             0.01775,            0.070033,           0.0033296,           0.0033296
                   1,            0.065276,            0.016753,            0.017588,             0.31181,             0.26688,              0.2034,            0.076174,            0.066898,            0.011262,            0.018108,            0.039989,            0.006619,            0.006619
                   2,            0.064737,            0.016803,            0.017554,             0.29344,             0.24228,             0.17104,             0.06069,            0.068093,            0.011587,             0.01794,           0.0099014,           0.0098643,           0.0098643
                   3,            0.064072,            0.017014,            0.017212,             0.35681,             0.31524,             0.25344,            0.093285,            0.064407,            0.011158,             0.01492,            0.009802,            0.009802,            0.009802
                   4,             0.06168,            0.016589,            0.015869,               0.404,             0.35334,              0.3032,             0.11833,             0.06224,            0.010828,            0.013363,            0.009802,            0.009802,            0.009802
                   5,            0.060435,            0.016191,            0.015225,             0.40644,             0.31328,             0.27494,             0.10051,            0.062417,            0.011033,            0.014856,            0.009736,            0.009736,            0.009736
                   6,            0.059393,            0.016222,            0.014518,             0.46176,             0.38296,             0.35512,             0.13879,            0.059935,            0.010408,            0.012584,             0.00967,             0.00967,             0.00967
                   7,            0.058753,            0.016251,            0.014187,             0.44995,                 0.4,             0.36193,             0.14444,            0.058769,             0.01039,            0.012252,            0.009604,            0.009604,            0.009604
                   8,            0.058227,            0.016151,            0.013621,             0.49877,             0.40956,             0.40349,             0.16518,            0.057687,            0.010237,            0.011289,            0.009538,            0.009538,            0.009538
                   9,            0.057883,            0.015862,            0.013536,             0.48295,              0.4129,             0.39309,             0.16181,            0.057137,            0.010229,            0.011103,            0.009472,            0.009472,            0.009472
                  10,            0.057428,            0.015944,            0.013327,             0.49401,             0.43583,             0.42267,             0.17451,            0.056448,            0.010186,            0.010893,            0.009406,            0.009406,            0.009406
                  11,            0.056866,            0.015849,            0.013284,             0.51493,             0.43499,             0.43885,             0.18447,            0.056536,            0.010046,            0.010719,             0.00934,             0.00934,             0.00934
                  12,            0.056952,            0.015798,            0.013103,             0.51353,             0.44607,             0.43186,             0.18028,            0.056168,            0.010068,            0.010423,            0.009274,            0.009274,            0.009274
                  13,            0.056458,            0.015546,            0.012873,              0.5181,             0.45369,              0.4462,             0.18834,            0.055503,            0.010003,            0.010159,            0.009208,            0.009208,            0.009208
                  14,            0.056081,             0.01566,            0.012556,             0.52245,             0.45726,              0.4511,             0.19359,            0.055249,           0.0099593,            0.010092,            0.009142,            0.009142,            0.009142
                  15,            0.055923,            0.015845,            0.012466,             0.53307,             0.46745,             0.45869,             0.19752,            0.055173,           0.0099631,            0.010203,            0.009076,            0.009076,            0.009076
                  16,            0.055636,            0.015681,            0.012499,              0.5364,             0.47133,             0.46451,             0.20065,            0.054827,           0.0098776,           0.0098592,             0.00901,             0.00901,             0.00901
                  17,            0.055631,            0.015611,            0.012078,             0.55324,              0.4697,             0.47026,             0.20382,            0.054521,           0.0098619,           0.0099295,            0.008944,            0.008944,            0.008944
                  18,            0.055207,            0.015516,            0.011883,             0.55171,             0.48041,             0.47921,             0.20706,            0.054038,           0.0098059,            0.009574,            0.008878,            0.008878,            0.008878
                  19,            0.054971,            0.015465,            0.011926,             0.55898,             0.48369,             0.49337,             0.21606,            0.053767,           0.0097686,           0.0093704,            0.008812,            0.008812,            0.008812
                  20,             0.05472,            0.015367,            0.011851,             0.56425,             0.48736,             0.49379,              0.2163,            0.053719,           0.0097561,           0.0096008,            0.008746,            0.008746,            0.008746
                  21,            0.054756,            0.015402,             0.01177,             0.55712,             0.49565,             0.49801,             0.21883,            0.053641,           0.0097215,           0.0095207,             0.00868,             0.00868,             0.00868
                  22,            0.054671,            0.015422,            0.011563,             0.56163,             0.49337,             0.49667,             0.21952,            0.053313,           0.0097101,           0.0093072,            0.008614,            0.008614,            0.008614
                  23,            0.054556,            0.015361,            0.011499,             0.57643,             0.49683,             0.50536,             0.22257,            0.052968,           0.0096868,            0.009315,            0.008548,            0.008548,            0.008548
                  24,            0.054406,            0.015217,            0.011337,              0.5699,             0.49987,             0.50432,             0.22293,            0.053009,           0.0096865,           0.0094341,            0.008482,            0.008482,            0.008482
                  25,            0.054072,            0.015403,            0.011396,             0.56802,             0.50564,             0.50922,             0.22542,            0.052809,           0.0096737,           0.0092411,            0.008416,            0.008416,            0.008416
                  26,            0.054097,            0.015352,            0.011206,             0.57574,             0.49877,             0.51231,             0.22715,            0.052683,           0.0096587,           0.0091479,             0.00835,             0.00835,             0.00835
                  27,            0.053713,             0.01537,            0.011129,             0.57358,             0.50346,             0.51429,             0.22882,            0.052544,           0.0096427,           0.0091156,            0.008284,            0.008284,            0.008284
